total_calls,total_time,total_time/total_calls,primitive_calls,cumulative_time,cumulative_time/primitive_calls,filename:lineno(function)
738,0.000,0.000,738,0.000,0.000,_signatures.py:610(<genexpr>)
25,0.000,0.000,25,0.000,0.000,{built-in method builtins.compile}
928,0.000,0.000,928,0.000,0.000,version.py:321(epoch)
185,0.000,0.000,185,0.000,0.000,enum.py:470(__setattr__)
179,0.000,0.000,179,0.000,0.000,sre_parse.py:356(_escape)
1,0.000,0.000,1,0.000,0.000,_compat_pickle.py:1(<module>)
44,0.000,0.000,44,0.000,0.000,<frozen zipimport>:64(__init__)
146,0.000,0.000,146,0.000,0.000,sre_parse.py:85(opengroup)
245,0.000,0.000,183,0.000,0.000,typing.py:1247(__hash__)
591,0.000,0.000,591,0.000,0.000,<frozen importlib._bootstrap_external>:1040(__init__)
237,0.000,0.000,237,0.000,0.000,random.py:239(_randbelow_with_getrandbits)
647,0.000,0.000,647,0.005,0.000,{built-in method builtins.next}
10,0.000,0.000,10,0.002,0.000,core.py:2678(__init__)
581,0.000,0.000,581,0.000,0.000,ntpath.py:35(_get_bothseps)
55,0.000,0.000,55,2.829,0.051,ssbls12.py:35(__mul__)
934,0.000,0.000,934,0.000,0.000,version.py:344(local)
84,0.000,0.000,84,0.006,0.000,__init__.py:2567(_version_from_file)
618,0.000,0.000,618,0.000,0.000,_inspect.py:13(ismethod)
219,0.000,0.000,219,0.000,0.000,sre_parse.py:433(_uniq)
312,0.000,0.000,312,0.005,0.000,inspect.py:3251(signature)
2,0.000,0.000,2,0.003,0.001,numeric.py:1(<module>)
